Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,archivo
154,155,"Callejero Fino, Alejo Isakk, Locura Mix",Chetos Vs. Turros,98,12,291626,Argentina_2022_limpio.csv
155,156,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),56,59,289130,Argentina_2022_limpio.csv
156,157,"NATTI NATASHA, Daddy Yankee, Wisin & Yandel",Mayor Que Usted,157,2,288983,Argentina_2022_limpio.csv
157,158,"MYA, Emilia",BB,5,32,287148,Argentina_2022_limpio.csv
158,159,"Sebastian Yatra, Myke Towers",Pareja Del Año,2,64,286831,Argentina_2022_limpio.csv
159,160,"Bad Bunny, The Marías",Otro Atardecer,60,9,284538,Argentina_2022_limpio.csv
160,161,YSY A,Vamo a Darle,80,10,281707,Argentina_2022_limpio.csv
161,162,"J Balvin, Bad Bunny",LA CANCIÓN,7,92,280429,Argentina_2022_limpio.csv
162,163,Maria Becerra,Mi Debilidad,3,49,280366,Argentina_2022_limpio.csv
163,164,"Emilia, Tiago PZK",rápido lento,2,40,278440,Argentina_2022_limpio.csv
164,165,Morat,No Se Va,154,8,278094,Argentina_2022_limpio.csv
165,166,j-hope,MORE,166,1,274133,Argentina_2022_limpio.csv
166,167,Harry Styles,Watermelon Sugar,17,121,272521,Argentina_2022_limpio.csv
167,168,"Tirri La Roca, Brisa La Roca",Frontea,168,2,271775,Argentina_2022_limpio.csv
168,169,La K'onga,Convénceme,131,22,270650,Argentina_2022_limpio.csv
169,170,Natalia Lafourcade,Hasta la Raíz,66,35,268150,Argentina_2022_limpio.csv
170,171,"Kaleb Di Masi, Salastkbron, Alejo Isakk, Omar Varela",P rreo,50,19,266323,Argentina_2022_limpio.csv
171,172,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),84,18,264970,Argentina_2022_limpio.csv
172,173,No Te Va Gustar,Ese Maldito Momento,131,39,262279,Argentina_2022_limpio.csv
173,174,Maluma,Sobrio,22,52,262169,Argentina_2022_limpio.csv
174,175,"Maria Becerra, Becky G",Wow Wow (feat. Becky G),1,45,260242,Argentina_2022_limpio.csv
