rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
136,"spotify:track:2LsbizbOeNa4x6qsi2jAMb","Jarabe De Palo","La flaca","Parlophone Spain",58,118,4,"341327"
137,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",3,138,54,"340736"
138,"spotify:track:5tx7TTJEcrV5642l0Sn2sD","Dímelo Flow, Arcángel, Chencho Corleone, Wisin & Yandel, Myke Towers","Pirueta (with Arcangel, Chencho Corleone, feat. Wisin & Yandel, Myke Towers)","Rich Music/Interscope Records",138,162,8,"338432"
139,"spotify:track:0LXk0yWcGfACtMKX0igobq","Lalo Ebratt, Manuel Turizo","La Presión","Universal Music Spain S.L.",139,185,2,"337559"
140,"spotify:track:1wWSi1N5mBif8926JR78Ju","Nil Moliner","Soldadito de Hierro","WM Spain",48,130,61,"336881"
141,"spotify:track:22YVt0f3WR4XaK6l1TEgOr","Kidd Keo, Yay","Kikiki (feat. Yay)","WEA Latina",141,154,3,"336101"
142,"spotify:track:671sG3ETDxC3L6qcGIrHRM","Morat","A Dónde Vamos","Universal Music Spain S.L.",32,131,35,"334896"
143,"spotify:track:2V4hc5gplg7EXlrRUvD4rp","Morat, Aitana","Presiento","Universal Music Spain S.L.",16,136,64,"333813"
144,"spotify:track:3pm4XtcsRIFFtH2UErk62R","Yandel, Bad Bunny","CANCIÓN CON YANDEL","Rimas Entertainment LLC",19,126,8,"331781"
145,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",142,172,4,"330278"
146,"spotify:track:7KKTnv81z6DmfPIGsZWjOW","La Nueva Escuela, Omar Montes","La Rubia - Remix 2","829Music Mundial LLC",7,134,59,"329212"
147,"spotify:track:0eVborSuxUeSg0meWYd9dZ","Fito y Fitipaldis","Soldadito marinero","DRO/EastWest Spain",120,141,108,"325034"
148,"spotify:track:5m3jpKkgkfoMcym1qjToFg","Alex Rose, Rafa Pabön","Jangueo","Los Oidos Fresh/ Los Proximos",107,133,18,"324931"
149,"spotify:track:4aAfLSx9IthpC3Pw5pNk3E","Leiva","Como Si Fueras a Morir Mañana","Sony Music Entertainment",93,156,62,"322270"
150,"spotify:track:017PF4Q3l4DBUiWoXk4OWT","Dua Lipa","Break My Heart","Warner Records",47,150,14,"320925"
151,"spotify:track:2pWOMNQJW3g2zmGjP0Vkb0","Nicky Jam, Anuel AA","Whine Up","Sony Music Latin",5,129,36,"319672"
152,"spotify:track:5stPVcRqb4qixbafP9e8lt","Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","Hola - Remix","Rich Music",7,135,35,"316480"
153,"spotify:track:1Ol5LmdNDNpFu1oNwfgkux","Camilo, Pedro Capó","Tutu","Sony Music Latin",8,139,47,"314128"
154,"spotify:track:4NDHYPVJ5zLnR8yYZsMDsu","Chimbala","Rueda","Chimbala",11,132,40,"313692"
155,"spotify:track:0OTtnwUO8natNWSwdZvXVF","Ovy On The Drums, Beéle","Inolvidable","WEA Latina",65,160,11,"313019"
156,"spotify:track:4poybupy26pTWPr9zY1i7h","Nea","Some Say","Milkshake",156,173,2,"311842"
157,"spotify:track:0FktnzDqjClqU6iqOZVEs2","Bad Bunny","BYE ME FUI","Rimas Entertainment LLC",15,125,8,"311621"
158,"spotify:track:1uam9jorwMmFEeCM9CMsc9","Rels B, Morad","No Te Imaginas","Sony Music Entertainment",158,-1,1,"311282"
159,"spotify:track:5p3JJehpKHjr9pJT5eD2Lz","Anuel AA, Farruko, Zion","Que Se Joda","2020 Real Hasta La Muerte, LLC",44,148,5,"310360"
160,"spotify:track:4zQIamp851N57SyWqAYcZR","Morad","Bobo","M.D.L.R",59,145,14,"310226"
161,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",161,-1,1,"307789"
162,"spotify:track:6gBFPUFcJLzWGx4lenP6h2","Travis Scott","goosebumps","Cactus Jack / Epic",32,143,10,"306457"
163,"spotify:track:41wtwzCZkXwpnakmwJ239F","Bad Bunny","Si Veo a Tu Mamá","Rimas Entertainment LLC",11,140,18,"305845"
164,"spotify:track:4T7SpjqFNSpfdAsN66DkiE","Funzo & Baby Loud","Malibú con Piña","Sony Music Entertainment",21,142,25,"303237"
165,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",65,164,60,"302990"
166,"spotify:track:2qG5sZ7Si6sdK74qLxedYM","ROSALÍA, J Balvin, El Guincho","Con Altura","Columbia",1,155,67,"302891"
167,"spotify:track:5zsvrbPy4w9nz067ViWprz","Antonio José","Me Equivocaré","Universal Music Spain S.L.",42,152,40,"302416"
168,"spotify:track:6NfC2FKfsfzuLIF4lThw0A","Anuel AA, Bad Bunny","Así Soy Yo","2020 Real Hasta La Muerte, LLC",36,124,5,"301417"
169,"spotify:track:3lXlsmAYcTq4Oe0z7wEMXa","Morad","He Visto","M.D.L.R",88,158,6,"300563"
170,"spotify:track:3hlWUNjAlbZ6nOjAbrivBv","Pereza","Princesas","RCA Anxious",128,161,128,"299777"
171,"spotify:track:5w9c2J52mkdntKOmRLeM2m","Daddy Yankee, Snow","Con Calma","El Cartel Records (EC3)",1,165,75,"296645"
