rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
130,"Aaron Smith, Krono, Luvli",Dancin (feat. Luvli) - Krono Remix,8,72,621099,Mexico
131,"Bad Bunny, Nicky Jam",BAD CON NICKY,22,8,618849,Mexico
132,Christian Nodal,Adiós Amor,9,184,615073,Mexico
133,Imagine Dragons,Believer,34,178,609487,Mexico
134,Alejandro Fernández,Te Olvidé,58,24,609367,Mexico
135,Daddy Yankee,Que Tire Pa Lante,9,37,608529,Mexico
136,"Arcángel, Bad Bunny",Infeliz,22,28,605227,Mexico
137,"Los Ángeles Azules, Natalia Lafourcade",Nunca Es Suficiente,13,105,605128,Mexico
138,"Bad Bunny, Yaviah",Bichiyal,16,18,604374,Mexico
139,Calibre 50,Simplemente Gracias,46,60,602116,Mexico
140,La Adictiva,En Peligro de Extinción,20,101,599667,Mexico
141,Los Enanitos Verdes,Lamento Boliviano,84,97,596431,Mexico
142,Banda MS de Sergio Lizárraga,El Color de Tus Ojos,24,142,593332,Mexico
143,Luis Miguel,Culpable O No - Miénteme Como Siempre,4,110,592272,Mexico
144,Christian Nodal,Probablemente,12,160,589918,Mexico
145,"Ghetto Kids, Guaynaa, Mad Fuentes",Tra Tra Tra Remix - Remix,14,54,589318,Mexico
146,Cardenales De Nuevo León,Belleza De Cantina,112,48,585022,Mexico
147,"Nicky Jam, Daddy Yankee",Muévelo,19,25,581673,Mexico
148,KURT,La Mujer Perfecta,31,99,581211,Mexico
149,Queen,Another One Bites The Dust - Remastered 2011,6,93,571463,Mexico
150,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,7,49,570659,Mexico
151,"Grupo Firme, Banda Coloso",El Amor No Fue Pa´ Mí - En Vivo,60,38,568664,Mexico
152,"Junior H, Natanael Cano",Disfruto Lo Malo,101,18,566609,Mexico
153,Los Dos Carnales,El Envidioso,127,3,563286,Mexico
154,"Justin Quiles, NATTI NATASHA, Farruko, Lenny Tavárez, Dalex, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",41,43,561918,Mexico
155,"Daddy Yankee, Snow",Con Calma,1,75,556551,Mexico
156,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix,3,70,555925,Mexico
157,Queen,Bohemian Rhapsody - Remastered 2011,3,179,554581,Mexico
158,Melanie Martinez,Play Date,158,6,553964,Mexico
159,"Nio Garcia, Brray, Juanka",La Jeepeta,159,1,552877,Mexico
160,"Natanael Cano, Lil Tecca",Dime Pa Que,160,1,548890,Mexico
161,Billie Eilish,bad guy,7,66,548485,Mexico
162,Junior H,Ella,124,24,542654,Mexico
163,Travis Scott,SICKO MODE,29,23,542605,Mexico
164,"Natanael Cano, RobGz, Ovi",Yo Vengo De Barrio,164,1,535649,Mexico
165,Paulo Londra,Adan y Eva,2,87,535555,Mexico
166,Dua Lipa,Physical,25,22,534846,Mexico
167,The Police,Every Breath You Take,119,99,534342,Mexico
168,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,24,53,534332,Mexico
